Process started: 2022-07-01 01:58:36.795324
Opening DB connection
Engine created
DB connection successful!
('social45', 1, 1)
('pagarán', 1, 1)
('herbazales', 1, 1)
('magnéticos', 1, 2)
('explicables', 1, 2)
('16/06/2017', 1, 2)
('.informe', 1, 1)
('prensada', 1, 1)
('japón50', 1, 1)
('excepciones35', 1, 1)
('impactarían', 1, 1)
('lesmes', 1, 4)
('i2aut', 1, 1)
('britt', 1, 1)
('gepspilanelrú', 1, 1)
('víavehículos', 1, 1)
('derribar', 1, 1)
('resupuesstoesr', 1, 1)
('julios', 1, 2)
('utilización30,7%ninguna64,4%33,8%rastreo', 1, 1)
('hipotecarias', 1, 1)
('inundación(c', 1, 1)
('exservidor', 1, 2)
('muicleanutl', 1, 1)
('44,3%estudios', 1, 1)
('construimos', 1, 2)
('neobancos', 1, 1)
('extracciones', 1, 1)
('bpd', 1, 3)
('s(uds', 1, 1)
('semaforizado', 1, 1)
('entrevistadas', 1, 1)
('posibilitaran', 1, 1)
('penalidad', 1, 1)
('formalización50', 1, 1)
('50%-fondo', 1, 1)
('arregocés', 1, 2)
('triplicado', 1, 1)
('aprox', 1, 1)
('ibaguécali10,0girardota', 1, 1)
('seguimiento40', 1, 1)
('singular', 1, 1)
('caap', 1, 4)
('ampliopotencialmente', 1, 1)
('bogotá-bucaramanga', 1, 4)
('países106', 1, 1)
('supersolidaria', 1, 1)
('vivieron', 1, 1)
('-15,65%', 1, 1)
('11-feb', 1, 1)
('pidesc', 1, 1)
('remez', 1, 1)
('0,8olik', 1, 1)
('12%buscar', 1, 1)
('kamsáes', 1, 1)
('60%nó', 1, 1)
('1peatón', 1, 1)
('macizo14', 1, 1)
('29%17%12', 1, 1)
('uribi', 1, 1)
('organizacionales41', 1, 1)
('sce', 1, 2)
('decrete', 1, 2)
('1,2º', 1, 1)
('confianza57', 1, 1)
('wp2-2020-002', 1, 1)
('dispusieron', 1, 1)
('cotas', 1, 1)
('episódico', 1, 1)
('cifen)20', 1, 1)
('ruifu', 1, 1)
('40%10', 1, 1)
('brindaban', 1, 1)
('ed1', 1, 1)
('sifai', 1, 2)
('internacionalesahorro', 1, 1)
('terciaria60', 1, 1)
('sen)40', 1, 1)
('festivo', 1, 1)
('informarán', 1, 1)
('caquetá(a', 1, 1)
('paperas', 1, 1)
('biz', 1, 1)
('económico-criminales', 1, 1)
('sobrevive', 1, 1)
('pr34', 1, 1)
('iva33', 1, 1)
('consideramos', 1, 1)
('pib)2', 1, 1)
('h:1,2', 1, 1)
('pdp)1', 1, 1)
('multi-territorial', 1, 1)
('inza', 1, 5)
('plataforma26', 1, 1)
('sympathetic', 1, 2)
('narraciones', 1, 1)
('toribio', 1, 1)
('emerg', 1, 1)
('ben', 1, 1)
('pierdan', 1, 1)
('interfronterizo', 1, 1)
('olano', 1, 1)
('-colciencias', 1, 1)
('paralizar', 1, 1)
('multipropósito55', 1, 1)
('incorporá', 1, 1)
('apmp', 1, 1)
('uti', 1, 1)
('elcsa', 1, 1)
('simap48', 1, 1)
('tejen', 1, 1)
('evaluadoras', 1, 1)
('retirarse', 1, 1)
('agrosilvícolas', 1, 3)
('neurólogos', 1, 1)
('irland', 1, 1)
('6tabla', 1, 1)
('oferta-demanda', 1, 1)
('arribar', 1, 1)
('localesseguridad', 1, 1)
('documentostraslado', 1, 1)
('zoldo', 1, 2)
('ampliados(a', 1, 1)
('ods36', 1, 1)
('invemar(85', 1, 1)
('desescolarizada', 1, 2)
('evitaba', 1, 1)
('cebr', 1, 1)
('actualizando41', 1, 1)
('bpl', 1, 2)
('kdi', 1, 1)
('ntidad', 1, 1)
('indicaría', 1, 1)
('movilizarán', 1, 1)
('sergio', 1, 1)
('kugler', 1, 2)
('detecten', 1, 1)
('identificación46', 1, 1)
('subpuntos', 1, 2)
('cincomejores', 1, 1)
('emisión12', 1, 1)
('macizo7', 1, 1)
('embargar', 1, 1)
('infartos', 1, 1)
('-58,43%', 1, 1)
('territorio72', 1, 1)
('antecedes', 1, 1)
('remolino', 1, 1)
('inecc', 1, 2)
('.tco', 1, 5)
('llamaban', 1, 1)
('cousins', 1, 1)
('covid-circular', 1, 1)
('condensadores', 1, 1)
('asbama', 1, 4)
('showproperty?nodeid=%2focs%2fp_mhcp_wcc-078748%2f%2fidcprimaryfile&revision', 1, 1)
('urina', 1, 2)
('caf,2016', 1, 1)
('desencadenados', 1, 1)
('asimilado', 1, 1)
('hsh', 1, 1)
('empresarial16', 1, 1)
('19.260(a', 1, 1)
('digital37', 1, 1)
('2031mfmp2019', 1, 1)
('iica)14', 1, 1)
('descuidan', 1, 1)
('pgn)7', 1, 1)
('1.4741.2581.074enero', 1, 1)
('sucre(a', 1, 2)
('ccaoou', 1, 1)
('épuav', 1, 1)
('registraran', 1, 2)
('agents', 1, 1)
('5.3.3.diseño', 1, 1)
('traditicios', 1, 2)
('dfoer', 1, 1)
('hidrográficamente', 1, 4)
('pesados91', 1, 1)
('tantas', 1, 1)
('avad)3', 1, 1)
('emisiones4.5', 1, 1)
('laicepse', 1, 1)
('sur-calle', 1, 1)
('llenando', 1, 1)
('reuso', 1, 1)
('soic', 1, 1)
('svendsen', 1, 1)
('15,90%19,43%argentina', 1, 1)
('alimentado', 1, 1)
('vertiginosa', 1, 1)
('látex', 1, 1)
('-31,41%', 1, 1)
('venturing', 1, 2)
('pasajeros13', 1, 1)
('pigcc', 1, 1)
('intercepciones', 1, 1)
('h40', 1, 1)
('gustaría', 1, 1)
('choose', 1, 1)
('media-bajas', 1, 1)
('sacitílop', 1, 1)
('edited', 1, 1)
('coralina', 1, 1)
('5activos', 1, 2)
('procedido', 1, 1)
('concebidas', 1, 1)
('humanitaria24', 1, 1)
('bosques28', 1, 1)
('capitalist', 1, 1)
('confirmará', 1, 1)
('dinamizadoras', 1, 1)
('mago', 1, 1)
('pontifica', 1, 1)
('caycedo-rosales', 1, 2)
('blanchard', 1, 1)
('martha', 1, 1)
('chontaduro', 1, 2)
('confusos', 1, 1)
('proferir', 1, 1)
('134/253', 1, 1)
('modified', 1, 1)
('107.065.622.36total', 1, 1)
('tecnologíae', 1, 1)
('chachagüí', 1, 1)
('deducible', 1, 2)
('montoya', 1, 1)
('busso', 1, 2)
('condensa', 1, 1)
('disorders', 1, 1)
('rre', 1, 1)
('averiguar', 1, 1)
('eventos6', 1, 1)
('combustión79', 1, 1)
('billones49', 1, 1)
('williner', 1, 1)
('adeuda', 1, 1)
('administradoobtenida', 1, 2)
('cief', 1, 2)
('tequendam', 1, 1)
('reactivación166', 1, 1)
('riesgos56', 1, 1)
('incrédulos32', 1, 1)
('-procuraduría', 1, 1)
('persuasión', 1, 2)
('hallados', 1, 1)
('desmejora', 1, 1)
('matanza', 1, 1)
('profesionalizaron', 1, 1)
('filtraciones', 1, 1)
('inglés)v', 1, 1)
('vallee', 1, 1)
('195mm', 1, 3)
('postcensales', 1, 1)
('prospección22', 1, 1)
('robayo', 1, 3)
('mamos', 1, 1)
('conacti', 1, 2)
('reglamentación44', 1, 1)
('fami', 1, 1)
('raval', 1, 1)
('sueñoscopio', 1, 1)
('escolar123', 1, 1)
('riesgo12', 1, 1)
('conpes2', 1, 1)
('hablando', 1, 1)
('dramáticas', 1, 1)
('guabinal', 1, 1)
('2019armenia', 1, 1)
('3,563,37ibagué', 1, 1)
('desconfía', 1, 1)
('desactivar', 1, 1)
('12,9%entre', 1, 1)
('despejar', 1, 1)
('4,6%transporte', 1, 1)
('sustituido', 1, 1)
('retributivas(a', 1, 2)
('pagos144', 1, 1)
('zcit)23', 1, 1)
('400disponibilidad', 1, 1)
('asfáltico', 1, 1)
('adaptables', 1, 1)
('riofrio', 1, 2)
('resultadas', 1, 1)
('exigirá', 1, 1)
('aléipihcrafuente', 1, 1)
('tier', 1, 2)
('ravilob', 1, 1)
('campo77%', 1, 1)
('recaudadora', 1, 1)
('filantrópicas', 1, 1)
('fintech17', 1, 1)
('terceras', 1, 1)
('lora', 1, 1)
('missions', 1, 1)
('recaudosistema', 1, 1)
('agroproductiva', 1, 1)
('información164', 1, 1)
('0,0%educación', 1, 1)
('idi)29', 1, 1)
('desacelerarse', 1, 1)
('financieros41', 1, 1)
('ecv)14', 1, 1)
('pnd39', 1, 1)
('usd12,8', 1, 1)
('entidades(b', 1, 1)
('sitp51', 1, 1)
('institutionalisation', 1, 4)
('ya13', 1, 1)
('sorprende', 1, 1)
('laguneta', 1, 1)
('gomez', 1, 4)
('mezclados', 1, 2)
('recalcarse', 1, 1)
('singularidades', 1, 1)
('campo97', 1, 1)
('siteal', 1, 1)
('municipios16', 1, 1)
('24/15', 1, 1)
('gilmogotessan', 1, 1)
('repúbica', 1, 1)
('30/06/2018', 1, 1)
('wyman', 1, 1)
('reguladas32', 1, 1)
('atendían', 1, 1)
('ramsar11', 1, 1)
('extintivas', 1, 2)
('ahorrapp66', 1, 1)
('smml', 1, 1)
('leithwood', 1, 1)
('balmann', 1, 1)
('limítrofe', 1, 1)
('aclararse', 1, 1)
('coiba', 1, 1)
('internos53', 1, 1)
('dominando', 1, 1)
('cabalmente', 1, 1)
('migran', 1, 1)
('reaperturas', 1, 1)
('trasforma', 1, 1)
('dae1.000plme', 1, 1)
('leasings', 1, 4)
('5sin', 1, 1)
('pep-ramv', 1, 1)
('tierra-', 1, 1)
('silvícola', 1, 3)
('-22,90%', 1, 1)
('acehc', 1, 1)
('exigirle', 1, 1)
('senti', 1, 1)
('turbana', 1, 2)
('veintiuno', 1, 1)
('socio-empresariales', 1, 1)
('resultados131', 1, 1)
('reconfigurar', 1, 1)
('listos', 1, 1)
('albury', 1, 2)
('riesgos64', 1, 1)
('embera', 1, 1)
('dotarla', 1, 1)
('nacionales5', 1, 1)
('focrtumrsóoan', 1, 1)
('sisdp)/sisfc', 1, 1)
('conciernen', 1, 1)
('retaliaciones', 1, 1)
('agregarán', 1, 1)
("d'angelo", 1, 1)
('divergentes', 1, 1)
('prompreodmieod', 1, 1)
('hortofrotícola', 1, 1)
('computables', 1, 1)
('lpdooessl', 1, 1)
('40por', 1, 1)
('meten', 1, 1)
('socializaran', 1, 1)
('titularidad42', 1, 1)
('honorem', 1, 1)
('beneficiarias22', 1, 1)
('-55,24%', 1, 1)
('idu-cma-sgdu-009-2017', 1, 1)
('helping', 1, 1)
('compendiadas', 1, 1)
('recicladores', 1, 5)
('-carne', 1, 1)
('sector18', 1, 1)
('habitar', 1, 1)
('oceánicos-atmosféricos', 1, 1)
('capv', 1, 1)
('sports', 1, 1)
('ita', 1, 3)
('revolucionarias-ejército', 1, 1)
('buenaventura54', 1, 1)
('criptomonedas', 1, 1)
('83.871(b', 1, 2)
('enos26', 1, 1)
('concedió', 1, 1)
('dijín', 1, 1)
('stallings', 1, 1)
('tecnificado', 1, 1)
('slots89', 1, 1)
('abstracción', 1, 1)
('porcentaje14', 1, 1)
('imposiciones', 1, 1)
('vigente90', 1, 1)
('conpes4033', 1, 1)
('pcsja20-11594', 1, 1)
('siginifica', 1, 1)
('desagregarlo', 1, 1)
('clamara', 1, 2)
('interbancaria', 1, 2)
('otcc', 1, 4)
('pública35', 1, 1)
('latinoamerica', 1, 1)
('insatisfactorias', 1, 1)
('ddu', 1, 1)
('estática41', 1, 1)
('95/46', 1, 1)
('𝑝𝑟𝑜𝑦𝑒𝑐𝑡𝑜26', 1, 1)
('demirgüç-kunt', 1, 2)
('compr.ar', 1, 1)
('uqs', 1, 1)
('iv103', 1, 1)
('impulsarían', 1, 1)
('indagan', 1, 1)
('intermitente', 1, 1)
('terapia', 1, 1)
('heramienta', 1, 1)
('energy-economics', 1, 1)
('paz81', 1, 1)
('defraudación', 1, 1)
('ciudad27', 1, 1)
('colombia40', 1, 1)
('poponte-centro', 1, 1)
('abstienen', 1, 1)
('generarles', 1, 1)
('naturalezawwf', 1, 1)
('omi', 1, 3)
('extrapesada', 1, 1)
('servicio-', 1, 1)
('gaitánpuente', 1, 1)
('witsa', 1, 1)
('deoecd', 1, 1)
('recipiente', 1, 1)
('pobreza45', 1, 1)
('orgnanizaciones', 1, 1)
('defensorial18', 1, 1)
('triplicó', 1, 1)
('30-a', 1, 2)
('abasto', 1, 1)
('crucero', 1, 1)
('l60', 1, 1)
('talks', 1, 1)
('payandé', 1, 1)
('infraestructura49', 1, 1)
('líneamientos', 1, 1)
('scaling', 1, 1)
('organoclorados', 1, 1)
('justices', 1, 1)
('opositores', 1, 1)
('35%30%100.00025%20%80.00015%60.000', 1, 1)
('asociativo76', 1, 1)
('acústicas', 1, 1)
('gradstein', 1, 1)
('proyecto28', 1, 1)
('15%elpm', 1, 1)
('d´agostino', 1, 2)
('montarse', 1, 1)
('published', 1, 1)
('manufacturero37', 1, 1)
('mesesfuente', 1, 1)
('brt24', 1, 1)
('asobares', 1, 1)
('nedjati-gilani', 1, 1)
('soreicnanif', 1, 1)
('intradiarios', 1, 2)
('eventosir', 1, 1)
('phd', 1, 1)
('zeevaert-wiechers', 1, 2)
('-agosto', 1, 1)
('imprescindibles', 1, 1)
('estatutari', 1, 2)
('dives', 1, 3)
('aprobación23', 1, 1)
('común17', 1, 1)
('administradoconformidades/', 1, 1)
('-género', 1, 1)
('minutos)0', 1, 1)
('refugiadas', 1, 2)
('10estaciones', 1, 1)
('municipios-bogotá', 1, 1)
('tirm)28', 1, 1)
('ferrer', 1, 1)
('critique', 1, 2)
('regresan', 1, 4)
('chart65', 1, 1)
('molestias', 1, 1)
('apariciones', 1, 1)
('graderías', 1, 1)
('connection', 1, 1)
('emcali', 1, 1)
('reanudó', 1, 1)
('roig', 1, 1)
('monteria', 1, 1)
('limites', 1, 1)
('fields', 1, 2)
('aduanas-impuestos', 1, 1)
('97pp', 1, 1)
('4.3.4.recuperación', 1, 1)
('incumplidas', 1, 1)
('sstro', 1, 1)
('sorensen', 1, 1)
('descarta', 1, 1)
('creándose', 1, 1)
('igac43', 1, 1)
('inmunizan', 1, 1)
('trochas', 1, 1)
('evaluaciones179', 1, 1)
('7del', 1, 1)
('estudos', 1, 1)
('litigiosos', 1, 2)
('ila)101', 1, 1)
('ctc', 1, 3)
('desacelerar', 1, 1)
('eiginltocifudrciqa', 1, 1)
('entrant1es1', 1, 1)
('enadelantefuente', 1, 1)
('worjing', 1, 1)
('1/2864', 1, 1)
('rotar', 1, 1)
('halle', 1, 1)
('monovalente', 1, 1)
('castellanos', 1, 1)
('incluyo', 1, 1)
('tractocamiones', 1, 4)
('escalarse', 1, 1)
('antigénica', 1, 1)
('pondría', 1, 3)
('educativas65', 1, 1)
('2020(b', 1, 1)
('10calidad', 1, 1)
('selectividad', 1, 1)
('apaprrtoep', 1, 1)
('quintuplique', 1, 1)
('velez', 1, 1)
('-usd', 1, 1)
('mínimo27', 1, 1)
('ideado', 1, 1)
('operativo58', 1, 1)
('estimated', 1, 1)
('21/01/2', 1, 1)
('chapman', 1, 2)
('intromisiones', 1, 2)
('bogotá50', 1, 1)
('canalizaron', 1, 1)
('ble', 1, 1)
('sensitivos', 1, 2)
('r2172', 1, 1)
('dieciseisavo', 1, 1)
('aíslan', 1, 1)
('lanoicazinagro', 1, 1)
('jurídica31', 1, 1)
('región-nación', 1, 2)
('entidad39', 1, 1)
('recursos37', 1, 1)
('arnintnccoea', 1, 1)
('diabéticos', 1, 1)
('rurales61', 1, 1)
('snaipd', 1, 3)
('anticipatorio', 1, 2)
('sinae', 1, 3)
('impacto62', 1, 1)
('universal23', 1, 1)
('fondo20', 1, 1)
('retén', 1, 1)
('fazni41', 1, 1)
('distinguidos', 1, 1)
('tardarían', 1, 1)
('tetravalente', 1, 1)
('eubank', 1, 1)
('-3,72%', 1, 1)
('aiceus', 1, 1)
('transexual', 1, 1)
('esclavitud', 1, 1)
('digital-colombia', 1, 1)
('orpa', 1, 1)
('mpio', 1, 1)
('co-financiar', 1, 1)
('israel1601401201008060402001', 1, 1)
('entie', 1, 1)
('social67', 1, 1)
('sigkdd', 1, 1)
('municipios3', 1, 1)
('conciba', 1, 1)
('participación43,9%28,4%27,0%', 1, 1)
('10,0%e', 1, 1)
('toscano', 1, 1)
('sostenibles32', 1, 1)
('semiestructurado', 1, 1)
('o&m(a', 1, 1)
('transparencia-', 1, 1)
('2beneficios', 1, 1)
('omán', 1, 1)
('293uruguay', 1, 1)
('sobornos', 1, 2)
('minoría', 1, 1)
('r3e', 1, 1)
('19%no', 1, 1)
('26-feb', 1, 1)
('protegidas7', 1, 1)
('peruano', 1, 1)
('conpes_3759_modernizaci%c3%b3n_transporte_automotor_de_carga.pdf', 1, 1)
('vandenbussche', 1, 1)
('acuerda', 1, 1)
('loot', 1, 1)
('-53,83%', 1, 1)
('administración30', 1, 1)
('restituir', 1, 2)
('submar', 1, 1)
('oaisa', 1, 1)
('seleccionarán', 1, 1)
('privatization', 1, 1)
('fácticos', 1, 1)
('yurbana', 1, 1)
('acústicos', 1, 1)
('-0,3-3,1venezuela', 1, 1)
('pg4', 1, 1)
('notificada', 1, 1)
('quindiuense', 1, 1)
('aserraderos', 1, 2)
('gilfot', 1, 1)
('llegaran', 1, 1)
('perteneció', 1, 1)
('estado39', 1, 1)
('3boyacá', 1, 1)
('fletschner', 1, 1)
('life-critical', 1, 1)
('sondeo', 1, 1)
('colombia116', 1, 1)
('mt20182100301631', 1, 2)
('24%e', 1, 1)
('edmunds', 1, 1)
('entretenimiento180160140120se100ytba', 1, 1)
('plateado', 1, 1)
('aibmolocatse', 1, 1)
('71%0%100', 1, 1)
('adopción36', 1, 1)
('oórni', 1, 1)
('responsabilizar', 1, 1)
('p0leto', 1, 1)
('traídos', 1, 1)
('conmociones', 1, 1)
('salvati', 1, 1)
('erkek', 1, 1)
('partería', 1, 2)
('23%19%19%19%15%15%15%15%15%30%20%524', 1, 1)
('evb', 1, 3)
('nsp', 1, 1)
('mosqueteros', 1, 1)
('brocade', 1, 1)
('282.827millones', 1, 2)
('armamento', 1, 1)
('8,0%d', 1, 1)
('gobernadoras', 1, 5)
('draft', 1, 1)
('cpg', 1, 1)
('salud44', 1, 1)
('ejecutado(a', 1, 1)
('combatientes', 1, 1)
('ordóñez', 1, 1)
('q55', 1, 1)
('contrastaron', 1, 1)
('residos', 1, 1)
('infringió', 1, 1)
('archivísticas', 1, 1)
('nitrogenado', 1, 1)
('contrataron', 1, 1)
('oge', 1, 1)
('tiempo60', 1, 1)
('gpg', 1, 1)
('convites', 1, 1)
('evaristo', 1, 1)
('clarificar', 1, 1)
('humanitaria120', 1, 1)
('equidad36', 1, 1)
('barne', 1, 1)
('asesinadas', 1, 1)
('manila', 1, 1)
('m11', 1, 1)
('gpsdd', 1, 2)
('uiparlamient', 1, 2)
('nociones', 1, 1)
('nacional49', 1, 1)
('humanos62', 1, 1)
('reprobados71', 1, 1)
('bellini', 1, 2)
('icd)108', 1, 1)
('pml', 1, 2)
('mocoa:12', 1, 1)
('19.05217.65815.14510.6317.4964.018(a)2007', 1, 1)
('visualizadas', 1, 1)
('encomendada', 1, 1)
('edmic55', 1, 1)
('remún', 1, 1)
('20084evaluaciones', 1, 1)
('nóci', 1, 2)
('dieciocho-ciudad', 1, 1)
('litnafni', 1, 1)
('asfaltita', 1, 1)
('felicitar', 1, 1)
('promovieran', 1, 1)
('lirba', 1, 1)
('paz13', 1, 1)
('preexistencia', 1, 1)
('negativos11', 1, 1)
('may-20', 1, 2)
('salientes', 1, 1)
('atlántica54', 1, 1)
('vip]11', 1, 1)
('rentabilidad21', 1, 1)
('tuesta', 1, 1)
('calerartne', 1, 1)
('m3santa', 1, 1)
('catastrales119', 1, 1)
('2,5reino', 1, 1)
('convergió', 1, 1)
('bogotá19', 1, 1)
('pomca)28', 1, 1)
('nacional-porcentaje', 1, 1)
('abaratamiento', 1, 1)
('11.b', 1, 1)
('intrumentos', 1, 1)
('heredadas', 1, 1)
('rudecolombia', 1, 1)
('reincorporadas', 1, 2)
('endurecidas', 1, 3)
('robert', 1, 1)
('país41', 1, 1)
('oscilará', 1, 1)
('assoc', 1, 1)
('botes', 1, 1)
('comento', 1, 3)
('ships', 1, 2)
('esta7', 1, 1)
('mdgs', 1, 1)
('rpc)40', 1, 1)
('interés74', 1, 1)
('terao', 1, 1)
('pallotta', 1, 3)
('conpes3883', 1, 1)
('medida-educación', 1, 1)
('textil109', 1, 1)
('educativo0%', 1, 1)
('tian', 1, 1)
('penitenciarías', 1, 1)
('ajustado100', 1, 1)
('campus)52', 1, 1)
('anegamiento', 1, 3)
('sincronicen', 1, 1)
('-covid19-en', 1, 1)
('sospechosos', 1, 1)
('idcdieam', 1, 1)
('numeroso', 1, 1)
('capitalizan', 1, 1)
('improve', 1, 1)
('/5petr/6óle/6o', 1, 1)
('presentaos', 1, 1)
('significación', 1, 1)
('transfusión', 1, 3)
('estatutario', 1, 1)
('policing', 1, 2)
('michelsen', 1, 1)
('institución75', 1, 1)
('libre?durante', 1, 1)
('22-mar', 1, 5)
('4aivse', 1, 1)
('mm(b', 1, 1)
('georgette', 1, 1)
('aembst', 1, 1)
('feb-2015', 1, 1)
('sancionados18', 1, 1)
('intestinales', 1, 1)
('opuestos', 1, 1)
('humanitaria13', 1, 1)
('botón', 1, 2)
('invoquen', 1, 1)
('fnam', 1, 1)
('carroll', 1, 3)
('fundadoras', 1, 4)
('acaecidos', 1, 1)
('torta', 1, 2)
('rucci', 1, 3)
('ncili', 1, 1)
('aidnalnif', 1, 1)
('sisclima)36', 1, 1)
('restársele', 1, 1)
('ensanche', 1, 1)
('territorio54', 1, 1)
('1990/', 1, 1)
('aplicable35', 1, 1)
('no17', 1, 1)
('arbona', 1, 2)
('805–832', 1, 1)
('repuesta', 1, 1)
('solventes', 1, 1)
('sucreo', 1, 1)
('4,7japón', 1, 1)
('para26,4%', 1, 1)
('usuarios55', 1, 1)
('microscopio', 1, 2)
('colombiatic.mintic.gov.co', 1, 1)
('cristalina', 1, 1)
('tercerizar', 1, 1)
('wetlands', 1, 1)
('servicios37%32%19%10%2%2008', 1, 1)
('piim', 1, 1)
('monopolísticas', 1, 2)
('6.toépcenraictoiv', 1, 1)
('61lje', 1, 2)
('derogatorio', 1, 1)
('monografía', 1, 1)
('torrencial', 1, 5)
('salobres', 1, 1)
('oficializa', 1, 1)
('multa', 1, 1)
('pesquera-régimen', 1, 1)
('estado69', 1, 1)
('policivas', 1, 1)
('milot', 1, 1)
('encarece', 1, 1)
('prestablecida', 1, 1)
('productores90', 1, 1)
('juventud-colombia', 1, 1)
('importador', 1, 1)
('estándar)37', 1, 1)
('ecorregión72', 1, 1)
('hogares36%', 1, 1)
('plintíticas', 1, 2)
('suelo30', 1, 1)
('sig-ot', 1, 1)
('planearse', 1, 1)
('decker', 1, 5)
('degenerados', 1, 1)
('solomos', 1, 1)
('regresividad13', 1, 1)
('indirectos22', 1, 1)
('dl580', 1, 1)
('eechoud', 1, 1)
('-61,42%', 1, 1)
('asocda', 1, 2)
('padrlaaee', 1, 1)
('explicitaron', 1, 2)
('bancolombia-primer-banco-del-pais-en-entregar-beneficios-a-compradores-de-viviendas-sostenibles', 1, 1)
('forestales80', 1, 1)
('confundía', 1, 1)
('settlements', 1, 1)
('nazareth', 1, 1)
('0,1%más', 1, 1)
('.org', 1, 1)
('intensamente', 1, 2)
('jv213', 1, 1)
('2015(cifras', 1, 1)
('recomendciones', 1, 1)
('aguatero', 1, 1)
('subvencionadas', 1, 1)
('ibge', 1, 2)
('circunscribían', 1, 1)
('demostrables', 1, 1)
('sastre', 1, 1)
('cocinan', 1, 1)
('3.3.2.la', 1, 1)
('-18,04%', 1, 1)
('capacidades22', 1, 1)
('gasto16', 1, 1)
('16,36quienes', 1, 1)
('macayepo', 1, 1)
('brookings', 1, 5)
('línea144', 1, 1)
('induzcan', 1, 1)
('hidrofluorocarbonos', 1, 1)
('institucional41', 1, 1)
('ccarreras', 1, 1)
('nuvo', 1, 1)
('fij', 1, 1)
('consentido', 1, 1)
('register', 1, 1)
('didácticos', 1, 5)
('billetaje', 1, 1)
('caben', 1, 1)
('electrónicos800)s', 1, 1)
('exports', 1, 2)
('suelo)%', 1, 1)
('interesan', 1, 1)
('programarse', 1, 1)
('recobran', 1, 1)
('promedio7,1x', 1, 1)
('gabriel', 1, 1)
('ucl', 1, 1)
('muradian', 1, 1)
('enriquecerlos', 1, 1)
('recuperación34', 1, 1)
('3que', 1, 1)
('sagrilaft', 1, 3)
('stocklight', 1, 1)
('concertaron', 1, 1)
('sgss', 1, 1)
('ejecutoriada', 1, 1)
('true&ark=/ark:/48223', 1, 1)
('razon', 1, 1)
('retailer', 1, 1)
('346.440.000.00aeropuertos', 1, 1)
('cuestionan', 1, 4)
('carilbe', 1, 1)
('5eja', 1, 1)
('coberturas(a', 1, 1)
('plan_v%c3%adas-cc_v%c3%adas_compatibles_con_el', 1, 1)
('callar', 1, 1)
('1.diagnóstico', 1, 1)
('ambiental3', 1, 1)
('amenacen', 1, 1)
('100d', 1, 1)
('recognition', 1, 1)
('51,6mercadeo', 1, 1)
('guanía', 1, 2)
('lbismpleonaofrrefgeoisbondc', 1, 1)
('24,1%putumayo', 1, 1)
('ba2', 1, 1)
('prieto', 1, 2)
('magíster', 1, 1)
('lasso', 1, 1)
('cif-conservación', 1, 1)
('interacting', 1, 1)
('credibanco', 1, 1)
('calculo', 1, 1)
('434b', 1, 1)
('proure68', 1, 1)
('netter', 1, 1)
('aduaneros50', 1, 1)
('conpes4030', 1, 1)
('micronegocios51', 1, 1)
('svehículos', 1, 1)
('indiquen', 1, 1)
('ebanistería', 1, 2)
('renuencia', 1, 1)
('océano-política', 1, 1)
('colombil', 1, 1)
('piichipa', 1, 1)
('abierto53', 1, 1)
('ipep', 1, 3)
('inyectores', 1, 1)
('caprinos', 1, 2)
('clínico-', 1, 1)
('nación18', 1, 1)
('teruel', 1, 1)
('81º', 1, 1)
('55,60%52,20%34,80%33,10%21,30%16,30%presupuesto', 1, 1)
('turkey', 1, 1)
('discriminando', 1, 2)
('0/8', 1, 2)
('definirlas', 1, 1)
('eterno', 1, 1)
('reconexión', 1, 1)
('establecimientos11', 1, 1)
('1.248.736.695.80servicio', 1, 1)
('2,203,12villavicencio', 1, 1)
('bucaramang', 1, 1)
('conpes4031', 1, 1)
('uprimny', 1, 1)
('gastaría', 1, 1)
('smlv-', 1, 2)
('utilicé', 1, 1)
('disturbios', 1, 1)
('preservará', 1, 1)
('ludpposaun', 1, 1)
('137.090.900.00as', 1, 1)
('0%primer', 1, 1)
('explotarse', 1, 1)
('ide)26', 1, 1)
('agotando', 1, 1)
('lriesgoweb.pdf', 1, 1)
('sépuavtron', 1, 1)
('interior25', 1, 1)
('repotenció', 1, 1)
('chat', 1, 1)
('energizados', 1, 1)
('mckibbin', 1, 2)
('desapeño', 1, 1)
('ordinariat', 1, 1)
('12-abr', 1, 1)
('14,1orp', 1, 1)
('iría', 1, 1)
('ainevolse', 1, 1)
('instaura', 1, 1)
('tranzarse', 1, 1)
('14camioneta', 1, 1)
('foliar', 1, 1)
('replicando', 1, 1)
('litigob23', 1, 1)
('semiformales', 1, 1)
('1(peor', 1, 1)
('recursos36', 1, 1)
('kira', 1, 1)
('cont', 1, 1)
('caliza', 1, 1)
('dispersoaglomeracionesaglomeraciones', 1, 1)
('eaj', 1, 1)
('-pn', 1, 1)
('costera10', 1, 1)
('syndrome', 1, 1)
('26,1%ed', 1, 1)
('-49,82%', 1, 1)
('mataderos', 1, 1)
('pmi100', 1, 1)
('reimportación', 1, 2)
('24mbps', 1, 2)
('11lje', 1, 2)
('calificado30', 1, 1)
('22ciencia', 1, 1)
('𝑝𝑟𝑜𝑦𝑒𝑐𝑡𝑜𝐶', 1, 1)
('inalterabilidad', 1, 1)
('indiscriminada', 1, 1)
('mediática50', 1, 1)
('positividad', 1, 1)
('conpes4027', 1, 1)
('telecartagena', 1, 2)
