IdDocumentoCONPES,Titulo,Numero,FechaAprobacion,URL,URLPAS,URLOtros
4450, Actualización del Documento CONPES 3882 Apoyo del gobierno nacional a la política de movilidad de la Región Capital Bogotá-Cundinamarca y declaratoria de importancia estratégica del proyecto Sistema Integrado de Transporte Masivo – Soacha fases II y III,3899,2017-09-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3899.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3899_PAS.xlsx,
4448,"Capitalización de Colombia Telecomunicaciones S.A. E.S.P. para el prepago de la totalidad del contrato de explotación de bienes, activos y derechos celebrado con el Parapat y el pago de la totalidad del laudo arbitral",3898,2017-08-29,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3898.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/PAS_3898.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3898_Adenda1.pdf
4441,Seguimiento de la Política Nacional de Transporte Urbano y Masivo: lineamientos para la redistribución de componentes cofinanciables de los SETP,3896,2017-08-22,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3896.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3896_PAS.xlsx,
4443,"Modificación del Documento CONPES 3848 Importancia estratégica del Programa de cobertura condicionada de tasa de interés para créditos de vivienda no VIS, FRECH no VIS",3897,2017-08-22,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3897.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3897_PAS.xlsx,
4434,"Actualización del Documento CONPES 3834 Lineamientos de política para estimular la inversión privada en ciencia, tecnología e innovación a través de deducciones tributarias",3892,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3892.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3892_PAS.xlsx,
4436,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Caquetá,3893,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3893.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3893_AnexoA.Matriz-de-proyectos.xlsx,
4438,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Guaviare,3894,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3894.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3894_AnexoA.Matriz-de-proyectos.xlsx,
4440,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Meta,3895,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3895.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3895_AnexoA.Matriz-de-proyectos.xlsx,
4505,Marco de Gasto de Mediano Plazo 2018-2021,3890,2017-07-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3890.pdf,,
4560,"Plan Operativo de Inversiones, vigencia 2018",3891,2017-07-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3891.pdf,,
4429,Declaración de importancia estratégica del proyecto Vías para el Chocó: Transversal Quibdó-Medellín y Transversal Central del Pacífico,3889,2017-06-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3889.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3889_PAS.xlsx,
4533,Meta de balance primario y nivel de deuda del sector público no financiero (SPNF) para 2018,3888,2017-06-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3888.pdf,,
4425,"Distribución de los recursos del Sistema General de Participaciones para la atención integral de la primera infancia, vigencia 2017",3887,2017-05-30,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3887.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3887_AnexoC_Dist-SGP-primera-infancia-2017.xlsx,
4421,Contrato plan para la paz y el posconflicto entre la nación y los departamentos de Bolívar y Sucre,3885,2017-05-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3885.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3885_AnexoA.Matriz-de-proyectos.xlsx,
4432,Lineamientos de política y Programa Nacional de Pago por Servicios Ambientales para la construcción de paz y su Plan de Acción y Seguimiento (PSA),3886,2017-05-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3886.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3886_PAS.xlsx,
4418,"Instrucciones a los representantes de la nación y sus entidades para la destinación de utilidades de las empresas industriales y comerciales del Estado societarias y las sociedades de economía mixta del orden nacional, con corte a 31 de diciembre de 2016",3884,2017-04-28,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3884.pdf,,
4415,"Adopción de la medida correctiva de asunción temporal de la competencia de la prestación de los servicios de salud, educación, alimentación escolar, y agua potable y saneamiento básico en el departamento de La Guajira, en aplicación del Decreto 028/2008",3883,2017-02-21,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3883.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3883_AnexoD.Informe-de-seguimiento-del-sector-de-agua-potable-y-saneamiento-basico.pdf,
4404,Apoyo del Gobierno nacional a la política de movilidad de la región capital Bogotá-Cundinamarca y declaratoria de importancia estratégica del proyecto Sistema integrado de transporte masivo – Soacha fases II y III,3882,2017-01-10,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3882.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3882_PAS.xlsx,
