,topic1,topic2,2017,2018,2019,2020,2021,2022
202,documento,emprendedores,0,4,2,3,3,3
203,documento,infraestructuras,5,9,2,11,7,2
204,documento,equipamientos,3,4,1,5,5,1
205,documento,propósito,14,28,22,29,23,11
206,documento,consolidar,13,27,17,27,22,11
207,documento,procesos,12,34,20,31,25,12
208,documento,creación,8,30,20,26,21,10
209,documento,producción,8,30,16,25,16,10
210,documento,circulación,3,7,2,9,6,4
211,documento,distribución,13,32,20,31,22,12
212,documento,acceso,13,32,20,30,23,14
213,documento,manifestaciones,1,3,1,4,4,2
214,documento,bienes,11,30,15,31,21,12
215,documento,servicios,15,37,24,34,26,12
216,documento,creativos,0,0,2,1,1,1
217,documento,fecha,12,31,20,31,22,13
218,documento,estudios,14,32,21,28,22,10
219,documento,desarrollados,3,14,10,13,10,8
220,documento,evidencian,5,12,13,19,13,7
221,documento,débiles,1,4,1,4,5,2
222,documento,capacidades,8,27,13,24,17,12
223,documento,garantizar,14,34,21,30,24,12
224,documento,consolidación,12,28,17,25,17,10
225,documento,problemática,5,16,12,19,14,8
226,documento,relacionada,7,21,12,25,14,10
227,documento,insuficiente,4,14,7,13,13,9
228,documento,física,11,25,11,25,19,10
229,documento,planes,11,29,16,25,22,13
